,Unnamed: 0,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt,controversial-score,POPULARITY
2274,2303,5deOrTNQwwU,BadgerVsMonkey,1102.0,Music,266.0,3375,4.79,33,22,14,6.518518518518518,0.18313261343012704
2368,2397,MeZqKo-qbPc,aerocheder,1127.0,Travel & Events,22.0,25688,4.1,30,37,20,1.4403612581750234,0.18279325643300798
1327,1348,MTw1jmMHIcU,rothiac80a1,1133.0,Entertainment,30.0,207,0.0,0,0,20,0.0,0.18270079435127978
2103,2132,aCKuVcclyv4,richville14,805.0,Comedy,82.0,2153,4.57,35,20,0,9.289363678588018,0.1826245341614907
3084,3114,8BuL8pkFRn8,reymon14,1021.0,People & Blogs,625.0,5767,4.17,29,56,20,9.710421362926997,0.18257838393731635
2589,2619,uRBTqoohv8k,abs4260,1037.0,Pets & Animals,518.0,1361,4.41,37,18,0,13.22556943423953,0.18248243972999037
337,347,o6yFvzZx7A8,Snuttebubbe,1136.0,Music,236.0,206,0.0,0,0,20,0.0,0.1813380281690141
3465,3499,HYJCIwNBqw8,Mexican107,925.0,Howto & Style,78.0,51042,3.92,24,32,14,0.626934681242898,0.18126054054054055
451,463,uZXrIw_is6E,thtguy23,1133.0,Comedy,158.0,1589,1.55,67,76,20,47.82882315921964,0.1812524713150927
2469,2499,kqVpcoevh1E,rnnr4you,1127.0,Sports,82.0,204,0.0,0,0,20,0.0,0.18101153504880213
467,479,M3pAXdYk2ns,hgesse1120,1133.0,Comedy,184.0,205,0.0,0,1,0,4.878048780487805,0.18093556928508384
2771,2801,3yhYBo8bHBA,rolletrubadur,1090.0,Music,171.0,197,0.0,0,0,20,0.0,0.18073394495412845
682,697,YfUVVxvyZ4Q,StormeDaddhnsl,1135.0,News & Politics,152.0,205,0.0,0,1,20,4.878048780487805,0.18061674008810572
2753,2783,WjLY-aMxzbc,overlander,949.0,Travel & Events,263.0,41082,3.84,32,14,20,0.3407818509322818,0.18016977871443624
1025,1043,WRxut1xxX3M,josh3d2004,1122.0,Comedy,177.0,1970,4.72,29,41,20,20.81218274111675,0.17963579322638146
322,332,3nSPbdOS4-g,dedelopez,634.0,Music,197.0,16149,4.86,28,18,20,1.114620100315809,0.17955160883280757
1074,1092,h1dq2ThdIeE,amromania,630.0,People & Blogs,158.0,2105,4.38,29,49,0,23.27790973871734,0.17936126984126982
1574,1601,3Kc27dKeZgU,ThunderShock2005,1135.0,Music,50.0,203,0.0,0,1,20,4.926108374384237,0.17885462555066078
3695,3729,TEQx8c_TTHE,jolandawelf,1018.0,Pets & Animals,211.0,182,0.0,0,2,0,10.989010989010989,0.1787819253438114
700,715,qCQxCFaKBeA,PokeAsheep,1130.0,Entertainment,68.0,1732,4.12,32,45,20,25.981524249422634,0.17837274336283188
2803,2833,J0sG8tAcrPg,snoopzakadave,1128.0,Music,297.0,201,0.0,0,1,20,4.975124378109452,0.17819148936170212
3467,3501,J1RZAM8svOI,jellymaster2,624.0,Music,237.0,4563,4.79,34,8,0,1.7532325224632919,0.1781725
1663,1691,PX7tFO58p3w,MAG1KProductionz,1102.0,Music,204.0,15604,4.84,25,43,14,2.755703665726737,0.17815970961887478
1509,1536,I81YxPVU-lA,jackieindo33,1134.0,Music,165.0,202,0.0,0,0,20,0.0,0.1781305114638448
1564,1591,dbAw-sTuqhs,jackieindo33,1134.0,Music,150.0,202,0.0,0,0,20,0.0,0.1781305114638448
3183,3213,xa6Zpq68Daw,kryptonao,939.0,Comedy,123.0,6900,4.61,28,41,20,5.942028985507246,0.1774282428115016
1826,1855,bepzkd5T3nw,CrazyCanucker85,878.0,Comedy,405.0,1024,3.73,33,53,20,51.7578125,0.17725628701594534
1835,1864,5wNzG4S6wKk,obaidkarki,1119.0,News & Politics,540.0,1094,4.64,33,23,20,21.02376599634369,0.1770976586237712
2271,2300,qnevxJSc64M,jacobgolden,568.0,Music,273.0,5663,4.83,29,27,0,4.76779092353876,0.1770400704225352
691,706,Rdb8ay8NhpI,gimpchrist,1130.0,Entertainment,111.0,2085,4.48,31,36,14,17.26618705035971,0.17672513274336285
1447,1474,dAS6iNBgNxY,bowener,1131.0,Nonprofits & Activism,17.0,1914,3.58,31,64,20,33.43782654127482,0.17667230769230768
491,504,BmpZ1ztfVqg,craigcoffey,864.0,People & Blogs,650.0,56454,4.52,23,7,20,0.12399475679314133,0.17630027777777776
2528,2558,IvzQ92HXohU,hotelangel,1101.0,People & Blogs,510.0,12003,3.57,30,58,20,4.832125302007832,0.1760019073569482
3537,3571,v5Q05GWLwv0,Rapshite,1051.0,Music,272.0,33388,4.46,28,19,20,0.5690667305618785,0.17564784015223597
62,63,e5L0hW2Dj10,MYHOODURHOOD2,1135.0,Music,64.0,199,0.0,0,1,0,5.025125628140704,0.17533039647577092
2058,2087,ZT3gDut3_tc,bonequinha01,1131.0,News & Politics,63.0,2678,4.21,33,34,20,12.696041822255415,0.17529781609195402
2182,2211,ZpJVNVe6WYc,skyfutebolportugues,1115.0,Sports,101.0,38005,4.19,21,53,14,1.3945533482436523,0.175075201793722
1442,1469,R7r6IymN9Ow,neo123torres123,1131.0,People & Blogs,337.0,2931,3.97,29,57,14,19.44728761514841,0.17472151193633953
3080,3110,avVpKTtMIX8,dommo92,1009.0,People & Blogs,162.0,4791,3.46,26,79,20,16.48925067835525,0.17370826560951438
2925,2955,DjSO5nAK6wE,GoogleDevelopers,975.0,Howto & Style,595.0,69917,4.68,19,13,20,0.18593475120500022,0.1736297435897436
1304,1325,pjJqoHPfAYo,swaykg,1135.0,Sports,44.0,10873,4.88,25,42,20,3.862779361721696,0.17357973568281937
1685,1713,uxjA5v-orLg,minimesam123,1066.0,Entertainment,50.0,7902,4.97,30,17,20,2.151354087572767,0.17351275797373358
2754,2784,8NGkfLSSMqw,SSeanA1,481.0,Travel & Events,32.0,22356,4.36,25,18,20,0.8051529790660226,0.1734781704781705
432,442,T1dNnSuJOeU,atomicsoda88,1005.0,Entertainment,304.0,4361,4.44,27,49,14,11.235955056179774,0.17321930348258707
1873,1902,R-1zgOO45KM,MaddyAni,936.0,Music,216.0,2541,4.47,32,27,0,10.625737898465172,0.17275474358974358
1645,1673,LBs4CvBOy-w,Letsdiiscox3,1084.0,Entertainment,358.0,4029,5.0,25,44,20,10.920824025812855,0.17271678966789666
630,644,DdgzKAOXN4I,AussieFocus,533.0,People & Blogs,35.0,18617,2.79,34,42,0,2.256002578288661,0.17178870544090058
3304,3335,xkqRTFsyRcU,deadjay64,1124.0,Music,263.0,193,0.0,0,0,20,0.0,0.17170818505338079
675,690,VG-KNsObwh4,Tadamun,1132.0,Comedy,108.0,498,4.59,32,24,20,48.19277108433735,0.1713199293286219
1692,1720,hJk5J2wq5T4,XxdaisyXx13,1011.0,Music,89.0,4926,4.78,27,37,20,7.511165245635404,0.17093240356083086
3932,3966,HtDCf1wTliE,webshark2000,607.0,Comedy,1019.0,5752,4.5,30,26,20,4.520166898470098,0.17047611202635915
1239,1259,E_oqvY3-Llw,ToszeDysan,877.0,Comedy,17.0,27348,3.59,29,35,20,1.2798010823460582,0.1702935803876853
2633,2663,5yRXPUuNHrM,powerballsvideos,1090.0,Sports,57.0,185,0.0,0,0,0,0.0,0.16972477064220184
1342,1363,QoKQMhQkZqM,mrmoneyun,1080.0,Entertainment,62.0,183,0.0,0,0,8,0.0,0.16944444444444445
2882,2912,hbttGbTMKK0,alsey00,1026.0,Music,600.0,10800,4.72,29,22,20,2.0370370370370368,0.16940631578947368
1877,1906,V2GrfU0nrIo,zarinazara,744.0,Sports,24.0,126,0.0,0,0,0,0.0,0.1693548387096774
