,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt
1464,qvD7jdBV-Uo,aFurryHatGuy,1134.0,News & Politics,200.0,742,2.0,4,1,20
1465,gvn2RG1Y22M,Incotso,1134.0,News & Politics,186.0,124,3.67,3,4,20
1466,hk59AaTsXi8,hotgreg,1131.0,Nonprofits & Activism,161.0,13666,4.75,20,51,20
1467,PuZYF6JbzME,LuizArbore,1131.0,Nonprofits & Activism,203.0,591,0.0,0,0,20
1468,0vCpwlp5xSA,GamingMazterResponds,1132.0,Nonprofits & Activism,91.0,2004,4.7,27,67,20
1469,R7r6IymN9Ow,neo123torres123,1131.0,People & Blogs,337.0,2931,3.97,29,57,14
1470,liz81wxTOZk,Jaelovenz,1133.0,Nonprofits & Activism,117.0,134,0.0,0,0,14
1471,K8K6esfFu0k,DreliWebstermcfjtc,1131.0,Film & Animation,211.0,1959,5.0,1,7,20
1472,fv3Adc0g_58,NoCopywrite,990.0,People & Blogs,114.0,413287,4.11,218,1169,14
1473,CMGEKUZD2mo,wiggywhackers,1132.0,Nonprofits & Activism,161.0,818,0.0,0,0,20
1474,dAS6iNBgNxY,bowener,1131.0,Nonprofits & Activism,17.0,1914,3.58,31,64,20
1475,xkfMbZeGbXQ,davidisbetterthenyou,1132.0,Nonprofits & Activism,22.0,307,0.0,0,3,20
1476,P9AkBkQ3pDU,edisonlovebobo,1134.0,Nonprofits & Activism,24.0,810,0.0,0,0,20
1477,RwnKwQzdHZA,TheUglyTruthz,1131.0,Education,379.0,3308,2.35,20,37,20
1478,kjT-Ia4sDYw,SundayBeef,1131.0,Pets & Animals,657.0,52533,2.53,386,687,14
1479,MwKbX7JYET4,TheUglyTruthz,1131.0,Education,86.0,4633,1.81,26,27,20
1480,LpTIEcQqD_A,chinesemobster,1132.0,News & Politics,105.0,494,5.0,1,0,0
1481,jl18NiGy40w,chingchongchinese,1132.0,Nonprofits & Activism,118.0,1441,3.0,8,2,14
1482,IRRAV76ygoM,chinesemobster,1132.0,Entertainment,97.0,355,0.0,0,3,20
1483,QYW3dCf6oM8,chinesemobster,1132.0,News & Politics,45.0,409,0.0,0,0,14
1484,PMoeWS6lSog,chinesenegro,1131.0,News & Politics,105.0,2361,2.67,3,8,20
1485,u91BngkzH8A,chinesenegro,1131.0,News & Politics,45.0,1782,3.0,2,8,20
1486,5z_NKhPUxXE,NowLiveNetwork,1123.0,Entertainment,450.0,18969,3.67,9,6,14
1487,cpaWmR-qswg,21Movie,1094.0,Film & Animation,53.0,5487,5.0,14,8,20
1488,XbErC-TEJMA,WildgrassRd,1120.0,Entertainment,150.0,3041,4.0,3,11,14
